GEN_TYPE,GEN_BUS,PG,QG,QMAX,QMIN,VG,MBASE,GEN_STATUS,PMAX,PMIN,PC1,PC2,QC1MIN,QC1MAX,QC2MIN,QC2MAX,RAMP_AGC,RAMP_10,RAMP_30,RAMP_Q,APF
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,17.1,0.0,0,0,0,0,0,0,0.285,2.85,8.55,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,18.5,0.0,0,0,0,0,0,0,0.30833333,3.0833333,9.25,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,18.5,0.0,0,0,0,0,0,0,0.30833333,3.0833333,9.25,0,0
Internal Combustion,55,0.0,0.0,9999,-9999,1.0,100,1,0.1,0.0,0,0,0,0,0,0,0.0016666667,0.016666667,0.05,0,0
Internal Combustion,82,0.0,0.0,9999,-9999,1.0,100,1,11.1,0.0,0,0,0,0,0,0,0.185,1.85,5.55,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,20.0,0.0,0,0,0,0,0,0,0.33333333,3.3333333,10.0,0,0
Combustion Turbine,82,0.0,0.0,9999,-9999,1.0,100,1,16.0,0.0,0,0,0,0,0,0,0.26666667,2.6666667,8.0,0,0
Jet Engine,79,0.0,0.0,9999,-9999,1.0,100,1,41.8,0.0,0,0,0,0,0,0,0.69666667,6.9666667,20.9,0,0
Jet Engine,79,0.0,0.0,9999,-9999,1.0,100,1,41.8,0.0,0,0,0,0,0,0,0.69666667,6.9666667,20.9,0,0
Jet Engine,79,0.0,0.0,9999,-9999,1.0,100,1,41.8,0.0,0,0,0,0,0,0,0.69666667,6.9666667,20.9,0,0
Jet Engine,79,0.0,0.0,9999,-9999,1.0,100,1,41.8,0.0,0,0,0,0,0,0,0.69666667,6.9666667,20.9,0,0
Combined Cycle,71,0.0,0.0,9999,-9999,1.0,100,1,47.7,0.0,0,0,0,0,0,0,0.795,7.95,23.85,0,0
Internal Combustion,45,0.0,0.0,9999,-9999,1.0,100,1,1.1,0.0,0,0,0,0,0,0,0.018333333,0.18333333,0.55,0,0
